  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p232           n223           n225                  8.3        81
  p233           n225           n226                154.3        57
  p238           n229           n231                 40.2        57
  p234           n225           n227                 72.3        81
  p237           n229           n230                    8        57
  p230           nv221          n223                 87.2        81
  p235           n227           n228                 26.4        81
  p231           n223           n224                158.9        57
  p236           n227           n229                 37.2        57
  p229           n221           n222                225.2        79
  p283           n273           n275                  114        81
  p286           n277           n278                 63.3        81
  p272           n262           n264                137.3        81
  p270           nv261          n262                233.2        81
  p285           n275           n277                275.7        81
  p280           nv271          n272                 71.4        57
  p279           n269           n271                356.3        81
  p288           nv279          n280                109.5        81
  p275           n266           n267                268.7        81
  p284           nv275          n276                213.2        44
  p287           n277           n279                   16        81
  p271           n262           n263                314.9        81
  p274           n264           n266                571.1        81
  p282           n273           n274                 74.5        57
  p281           n271           n273                360.2        81
  p227           nv219          n220                306.4        79
  p240           n232           n233                129.7        79
  p225           n217           n218               1044.1       141
  p245           n236           n237                253.5        96
  p241           n232           n234                 15.9        96
  p239           nv218'         n232                  144        96
  p247           n237           n239                439.3        96
  p244           nv234          n236                  1.2        96
  p246           n237           n238                143.3        35
  p195           n188           n189                168.2        79
  p273           n264           n265                283.9        81
  p276           n266           n268                  864        79


  Page 2                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p226           nv218          n219                253.2        96
  p228           n219           n221                437.4        79
  p4             n4             n6                  209.1        81
  p7             n8             n9                  517.3        81
  p5             n6             n7                  72.63        81
  p3             n4             n5                  254.2        81
  p6             n6             nv8                   207        81
  p194           nv187          n188                  329        79
  p222           n187           n215                726.8       141
  p259           nv250          n251                 47.8        81
  p260           nv251          n252                451.4        79
  p266           n256           n258                139.9        81
  p277           n261           n269                127.1        81
  p262           n253           n254                 63.2        81
  p263           n253           nv255                 4.9        81
  p261           n251           n253                120.9        81
  p269           n255           n261                172.9        81
  p267           nv258          n259                 13.1        79
  p268           n258           n260                371.2        81
  p265           nv256          n257                100.6        81
  p278           nv269          n270                193.1        81
  p264           nv255'         n256                103.8        81
  p221           n212           nv214                  66        81
  p204           n195           n197                350.7        79
  p213           nv204'         n206                 55.5        79
  p257           n241           nv249                 438        81
  p250           nv241          n242                 41.3        81
  p253           n244           n245                103.3        81
  p249           n240           n241                245.2        81
  p216           nv207'         nv209                48.3        99
  p202           n193           nv195               171.8        79
  p200           nv190'         n193                215.3        79
  p220           nv212          n213                 87.9        57
  p215           n207           nv208               177.5        81
  p254           nv244          n246                144.4        81
  p258           n240           n250                 31.4       113
  p206           nv198          n199                162.4        55
  p251           n242           n243                401.2        81
  p203           nv195'         n196                 85.1        79
  p207           n198           n200                 46.8        79
  p205           nv197          n198                139.7        79
  p218           n210           n211                 78.4        79
  p255           nv246          n247                192.8        81
  p209           n197           nv202               105.2        79
  p211           nv203          n204                 15.6        79
  p219           nv202''        n212                115.1        81
  p217           nv209          nv210                90.7        79


  Page 3                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  vs121-209      nv209          n209                  0.1        80
  p256           n246           n248                315.9        81
  p252           n242           n244                 55.1        81
  p212           nv204          n205                 62.7        79
  p170           n157           n165                132.3        79
  p169           nv161'         n164                 98.3        79
  p163           n157           n158                309.5        79
  p171           n165           n166                194.2        79
  p159           n154           n155                    4        79
  p164           n158           nv159               101.3        79
  p181           n175           n176                127.3        81
  p160           nv155          n156                  3.7        79
  p161           nv154          n156                  3.3        79
  p198           nv191          n192                 13.9        79
  p197           nv186'         n191                326.6        79
  p168           n161           n163                  4.1        79
  p182           nv175          n177                144.9        81
  p166           n159           n161                 10.4        79
  p165           nv159'         n160                102.6        79
  p167           nv161          n162                117.8        79
  p199           n192           n190                439.8        79
  p162           n156           n157                 72.9        79
  p183           n174           nv178                94.9        81
  p189           n181           nv183               191.6        81
  p191           n183           nv185               307.6        81
  p188           nv181          n182                  206        81
  p173           nv167          n168                196.6        81
  p176           n167           n171                 90.3        81
  p177           n171           n172                  4.1        79
  p186           n179           n180                204.8        81
  p184           nv178'         nv170                 177        81
  p185           nv170'         n179                  4.5        81
  p179           n171           n174                122.5        81
  p187           n179           n181                 63.8        81
  p174           n168           n169                 79.5        81
  p178           nv172          n173                 75.1        79
  p180           nv174          n175                  567        81
  p190           nv183'         n184                122.4        81
  p175           n168           n170                 95.4        81
  p99            nv95           n96                    37        79
  p97            n92            n94                  41.2        81
  p87            n2             n84                 527.5       144
  p106           nv102          n103                 43.8        79
  p103           nv99           n100                 80.3        79
  p101           nv97           n98                 153.1        79
  p96            n92            n93                  48.5        81
  p94            nv90           n91                    45        81


  Page 4                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p2             n3             n4                  454.2        81
  p98            n89            n95                 361.9       141
  p93            nv89           n90                   6.1        81
  p95            n90            n92                   5.8        81
  p157           n152           n153                 13.1        96
  p92            n88            n89                   159       141
  p1             n1             n3                  513.4        79
  p102           n97            n99                  12.8        79
  p126           nv119          n122                  2.9       141
  p124           nv120'         nv121                 6.5       110
  p100           nv96           n97                  39.1        79
  p155           nv122          n151                192.2        96
  p125           n121           n122                  1.3       141
  p104           n99            n101                 51.6        79
  p122           n118           n119                 52.3       141
  p192           nv153'         n186               1427.3       141
  p105           nv101          n102                 99.2        79
  p156           nv151          n152                498.6        96
  p121           n95            n118                324.6       141
  p158           nv153          n154                402.9        79
  p108           nv101'         n105                 94.3        79
  p172           n165           n167                933.5        79
  p208           nv200          n201                403.5        79
  p201           nv193          n194                153.2        79
  p13            n14            n15                   173        81
  p56            nv55           n56                 310.7        79
  p18            nv19           n20                 46.59        79
  p51            nv14'          n51                 128.8        79
  p59            nv57           n59                 249.1        79
  p15            n15            n17                   1.5        79
  p55            n54            n55                 160.3        79
  p10            nv11           n12                 70.48        81
  p58            n57            n58                 104.5        79
  p57            nv56           n57                 113.6        79
  p14            nv15           n16                 247.7        79
  p20            n22            nv21                162.7        79
  p9             n9             n11                 221.9        81
  p52            nv51           n52                 438.4        79
  p54            nv51'          n54                  41.9        79
  p17            nv18           n19                 65.18        81
  p22            n8             n23                 309.4        81
  p8             n9             nv10                  3.3        81
  p16            n17            n18                 53.45        81
  p53            nv52           n53                 168.2        79
  p19            n19            n21                  17.1        81
  p12            nv11'          nv14                296.3        81
  p35            nv35           n36                   9.2        57


  Page 5                                                          prueba
